		0.02	110.222	118.957	158.236	50.0	21.5
0.000	0.000	7.10	111.990	121.035	161.424	50.0	37.3
0.000	0.000	7.12	112.066	120.911	161.312	50.0	36.6
0.000	0.000	7.14	111.478	121.027	160.909	50.0	27.1
0.000	0.000	7.16	111.998	120.936	161.383	50.0	26.4
0.000	0.000	7.18	111.709	121.189	161.125	50.0	28.2
0.000	0.000	7.20	111.466	121.049	160.878	50.0	33.4
0.000	0.000	7.22	111.514	120.953	160.965	50.0	35.5
0.000	0.000	7.24	111.693	120.834	161.052	50.0	33.4
0.000	0.000	7.26	111.482	120.936	160.932	50.0	34.4
0.000	0.000	7.28	111.795	121.156	161.211	50.0	36.4
0.000	0.000	7.30	111.909	120.959	161.255	50.0	33.3
0.000	0.000	7.32	111.462	121.035	160.955	50.0	35.0
0.000	0.000	7.34	112.094	121.013	161.420	50.0	33.2
0.000	0.000	7.36	111.978	120.923	161.370	50.0	34.4
0.000	0.000	7.38	111.646	121.060	160.900	50.0	34.1
0.000	0.000	7.40	111.922	121.203	161.242	50.0	37.9
0.000	0.000	7.42	111.979	121.010	161.368	50.0	36.4
0.000	0.000	7.44	111.603	121.138	160.902	50.0	34.1
0.000	0.000	7.46	112.228	121.219	161.493	50.0	36.5
0.000	0.000	7.48	112.154	121.074	161.660	50.0	36.2
0.000	0.000	7.50	111.400	121.122	161.036	50.0	33.8
0.000	0.000	7.52	111.925	121.131	161.599	50.0	34.8
0.000	0.000	7.54	112.076	121.122	161.527	50.0	36.3
0.000	0.000	7.56	111.421	121.242	161.120	50.0	36.0
0.000	0.000	7.58	112.133	121.236	161.518	50.0	33.6
0.000	0.000	7.60	112.204	121.148	161.575	50.0	37.2
0.000	0.000	7.62	111.530	121.346	161.168	50.0	27.2
0.000	0.000	7.64	112.052	121.329	161.683	50.0	23.2
0.000	0.000	7.66	111.971	121.474	161.564	50.0	22.9
0.000	0.000	7.68	111.686	121.433	161.218	50.0	36.6
0.000	0.000	7.70	112.243	121.362	161.632	50.0	37.0
0.000	0.000	7.72	112.267	121.200	161.607	50.0	35.2
0.000	0.000	7.74	111.569	121.106	160.956	50.0	34.2
0.000	0.000	7.76	112.090	121.052	161.339	50.0	36.2
0.000	0.000	7.78	112.024	120.971	161.408	50.0	36.5
0.000	0.000	7.80	111.557	121.062	160.955	50.0	34.8
0.000	0.000	7.82	111.934	120.985	161.308	50.0	35.9
0.000	0.000	7.84	111.846	120.891	161.375	50.0	37.2
0.000	0.000	7.86	111.364	120.922	160.911	50.0	34.1
0.000	0.000	7.88	111.856	120.853	161.414	50.0	37.1
0.000	0.000	7.90	111.719	121.050	161.180	50.0	34.7
0.000	0.000	7.92	111.270	120.899	160.878	50.0	30.7
0.000	0.000	7.94	112.039	120.873	161.423	50.0	29.5
0.000	0.000	7.96	112.067	120.679	161.476	50.0	29.2
0.000	0.000	7.98	111.297	120.780	160.752	50.0	33.5
0.000	0.000	8.00	111.818	120.635	161.391	50.0	36.7
0.000	0.000	8.02	111.892	120.701	161.361	50.0	33.1
0.000	0.000	8.04	111.330	120.855	160.681	50.0	23.0
0.000	0.000	8.06	111.869	120.729	161.201	50.0	29.2
0.000	0.000	8.08	111.853	120.727	161.309	50.0	36.0
0.000	0.000	8.10	111.423	120.833	160.839	50.0	33.0
0.000	0.000	8.12	111.885	120.845	161.247	50.0	35.3
0.000	0.000	8.14	111.658	121.042	160.961	50.0	33.7
0.000	0.000	8.16	111.409	120.888	160.787	50.0	36.8
0.000	0.000	8.18	111.442	120.945	160.893	50.0	34.3
0.000	0.000	8.20	111.708	120.727	161.112	50.0	36.9
0.000	0.000	8.22	111.410	120.898	160.891	50.0	32.1
0.000	0.000	8.24	111.733	121.043	161.213	50.0	35.9
0.000	0.000	8.26	111.933	120.930	161.218	50.0	34.8
0.000	0.000	8.28	111.421	120.940	160.949	50.0	36.5
0.000	0.000	8.30	111.908	120.946	161.401	50.0	36.3
0.000	0.000	8.32	111.817	120.965	161.330	50.0	36.6
0.000	0.000	8.34	111.479	121.027	160.911	50.0	32.8
0.000	0.000	8.36	111.827	121.213	161.276	50.0	36.3
0.000	0.000	8.38	111.984	121.046	161.348	50.0	36.7
0.000	0.000	8.40	111.587	121.144	160.986	50.0	35.8
0.000	0.000	8.42	112.179	121.122	161.479	50.0	35.2
0.000	0.000	8.44	112.293	120.995	161.566	50.0	36.3
0.000	0.000	8.46	111.420	121.019	160.902	50.0	34.2
0.000	0.000	8.48	112.033	120.878	161.385	50.0	34.5
0.000	0.000	8.50	111.954	120.950	161.223	50.0	36.4
0.000	0.000	8.52	111.379	120.872	160.828	50.0	36.8
0.000	0.000	8.54	111.684	120.846	161.300	50.0	35.6
0.000	0.000	8.56	111.794	120.713	161.130	50.0	35.8
0.000	0.000	8.58	111.356	120.830	160.640	50.0	35.7
0.000	0.000	8.60	111.795	120.723	161.100	50.0	38.8
0.000	0.000	8.62	111.543	120.895	160.836	50.0	34.8
0.000	0.000	8.64	111.269	120.700	160.618	50.0	33.3
